insurance_type,age,vehicle_age,claim_amount,annual_premium,incidents,witness_count,policy_type,collision_type,police_report,is_fraud
property,18,8,2232.23,5545.61,1,1,basic,none,yes,0
health,23,13,8767.31,1621.64,0,3,basic,rear,no,0
property,45,17,2442.05,2380.84,2,3,standard,side,yes,0
health,70,10,3191.67,1456.93,2,2,standard,none,no,0
auto,66,1,1792.88,1886.87,0,1,standard,none,no,0
auto,24,4,6522.84,850.97,1,3,basic,rear,no,0
auto,20,4,6586.09,1807.56,1,2,basic,front,no,0
property,38,18,6107.43,1847.87,0,3,premium,side,no,0
auto,58,18,5304.29,4444.84,2,1,standard,none,no,0
auto,64,9,3833.42,736.93,1,0,standard,rear,no,0
health,69,17,2522.32,1571.14,2,0,basic,none,no,0
property,39,4,2058.06,3442.86,3,2,premium,none,yes,0
health,28,13,8981.6,1602.17,1,1,premium,none,no,1
auto,19,7,6218.99,1659.6,0,3,standard,side,yes,0
health,27,4,2241.02,1191.98,1,3,basic,none,yes,0
auto,22,5,3743.9,1134.22,0,0,premium,none,no,0
health,71,8,2951.06,725.65,0,3,premium,side,yes,0
health,34,6,1652.84,1320.01,1,2,standard,side,yes,0
auto,69,4,4123.08,1102.49,0,1,standard,none,no,0
auto,52,6,2722.09,1917.96,0,0,basic,side,no,0
auto,51,2,1869.12,1219.46,0,0,basic,side,no,0
auto,46,19,1292.85,1422.55,1,1,standard,front,no,0
health,68,7,1218.45,1442.16,0,0,standard,front,no,0
auto,20,2,2807.37,1765.02,1,0,standard,none,no,0
auto,23,11,3430.4,1388.17,1,3,standard,none,yes,0
health,44,17,1972.96,1063.27,1,1,standard,none,yes,0
health,42,7,5741.74,1887.26,1,2,premium,rear,yes,0
property,51,16,3477.67,3083.26,1,1,basic,side,no,0
property,63,12,5452.45,1927.99,2,2,premium,rear,yes,0
auto,54,14,3203.38,1332.87,3,1,basic,none,no,0
auto,33,5,2098.58,1700.07,0,0,basic,none,no,0
health,38,0,3943.73,648.51,1,2,standard,none,no,0
health,64,6,1504.37,1686.31,2,0,basic,front,no,0
auto,30,18,5311.38,1480.04,0,2,basic,rear,yes,0
property,49,15,1889.36,1133.73,2,3,standard,none,yes,0
health,51,15,6924.1,1241.35,1,2,basic,side,no,0
auto,64,17,2872.91,1472.74,1,2,standard,rear,no,0
health,62,7,7660.05,2969.74,1,3,basic,side,yes,0
auto,46,6,1659.32,3121.38,0,0,basic,side,no,0
property,37,18,2265.52,1136.76,0,3,basic,rear,yes,0
auto,40,11,4753.59,1395.43,0,0,standard,front,yes,0
health,43,5,8261.39,1413.33,2,0,basic,none,yes,0
health,31,5,11691.6,2710.19,0,0,basic,none,no,0
auto,56,17,3747.92,1944.49,1,2,basic,side,no,0
health,30,1,13179.55,1893.9,1,0,basic,front,no,0
auto,58,1,2972.73,2364.05,2,1,standard,none,no,0
auto,64,14,7856.82,1341.83,5,0,standard,none,no,0
auto,77,0,1882.72,3575.8,1,0,basic,none,yes,0
property,25,3,4886.05,1806.47,2,2,basic,front,no,0
property,65,19,706.85,1178.55,0,0,premium,none,yes,0
auto,23,8,1660.52,1611.92,0,1,basic,none,no,0
property,38,14,5047.63,3347.48,0,0,premium,rear,no,0
property,28,9,1452.87,1461.81,0,1,basic,rear,no,0
auto,28,1,4909.19,2906.72,0,3,premium,none,no,0
property,28,3,6867.26,1322.56,0,2,basic,none,no,0
auto,20,15,2563.36,1232.95,1,0,standard,front,yes,0
property,69,1,1847.77,2514.42,0,1,basic,none,no,0
health,21,11,2612.52,1167.96,0,2,premium,side,yes,0
property,42,6,1851.83,2727.85,0,1,basic,none,no,0
auto,61,7,3391.92,2155.58,0,1,standard,front,no,0
auto,79,19,3910.67,1168.18,1,3,basic,side,yes,0
property,70,12,2938.91,1744.6,0,3,standard,front,yes,0
health,26,12,11755.21,1374.18,2,0,standard,front,no,1
health,79,7,2200.45,2152.72,0,2,standard,none,no,0
health,58,7,9643.15,4646.64,1,3,standard,none,no,0
health,29,13,1756.59,1502.14,0,3,standard,rear,no,0
auto,45,0,3831.24,2361.11,3,1,standard,side,no,0
auto,74,4,8334.62,1830.27,3,2,basic,side,no,1
auto,42,12,8038.12,1829.92,0,0,basic,rear,no,0
auto,29,12,2713.02,1664.7,0,1,standard,front,no,0
property,72,1,5369.82,1177.67,1,0,basic,front,no,0
auto,77,15,4889.4,2137.88,0,2,standard,rear,yes,0
auto,78,10,2495.0,1564.98,0,2,basic,none,no,0
auto,77,4,5603.6,1150.1,0,1,premium,none,yes,0
property,72,15,13409.85,3002.16,1,1,standard,rear,no,0
auto,46,19,5065.41,1899.8,0,0,standard,none,no,0
auto,29,8,5412.41,1613.16,2,3,standard,side,no,0
property,56,5,5828.46,3533.44,1,3,standard,none,yes,0
auto,31,5,1309.39,721.95,0,0,basic,front,yes,0
health,47,11,5024.88,3416.63,0,1,basic,rear,no,0
auto,58,0,1786.95,1164.34,2,2,standard,front,yes,0
health,76,9,2409.27,2009.75,3,1,basic,none,yes,0
auto,35,0,16537.06,1347.45,0,0,basic,none,yes,0
auto,33,0,3049.45,1139.68,2,0,basic,none,no,0
auto,63,8,2168.69,3487.51,1,0,basic,none,no,0
health,18,14,8158.44,4573.84,1,3,basic,none,yes,0
property,53,17,1875.49,1618.71,0,2,basic,none,no,0
auto,64,1,2661.93,2138.24,0,1,basic,rear,no,0
health,52,4,8728.39,1860.3,0,0,standard,rear,no,0
auto,41,8,3751.6,4295.2,0,3,basic,none,no,0
health,69,11,1220.34,628.56,2,1,basic,none,yes,0
property,41,19,5328.33,2183.23,0,1,standard,none,no,0
auto,62,13,2758.59,1256.94,0,2,standard,none,yes,0
auto,46,10,10698.9,556.7,0,0,premium,none,yes,0
health,19,1,2381.94,1509.8,0,2,premium,rear,no,0
property,50,1,7599.66,4555.2,2,1,standard,none,no,0
health,21,3,12619.38,1302.41,2,2,standard,none,no,0
auto,75,13,2006.89,2684.86,0,2,basic,front,no,0
health,55,6,3180.36,3292.28,0,0,standard,none,no,0
auto,41,4,4779.24,1796.6,0,2,standard,side,yes,0
property,48,13,1997.91,1920.28,1,0,standard,none,no,0
property,56,16,4399.33,766.51,1,2,basic,front,no,0
property,34,8,3110.55,1263.85,0,1,premium,front,no,0
property,35,17,3066.99,2845.53,1,2,basic,none,no,0
property,43,14,3767.84,1863.74,1,0,standard,rear,no,0
auto,34,14,3827.19,2172.58,0,1,premium,rear,no,0
property,64,17,4083.53,1932.52,0,1,premium,rear,no,0
auto,24,3,2394.24,5409.99,1,1,basic,none,no,0
auto,69,15,2468.53,1457.88,1,1,basic,front,no,0
auto,39,19,3350.91,4034.77,1,0,standard,front,no,0
auto,52,19,3528.65,1932.85,1,1,standard,front,yes,0
auto,27,11,2677.95,4217.93,0,0,basic,rear,no,0
health,41,15,4567.67,979.96,2,2,standard,none,no,0
auto,64,17,1022.15,1982.92,0,0,premium,none,yes,0
auto,34,17,2183.48,1484.98,0,0,basic,none,no,0
auto,26,17,2993.06,1938.63,1,1,basic,rear,no,0
health,50,16,1999.63,3331.53,0,1,standard,none,no,0
health,28,7,11389.4,2185.07,0,3,standard,front,no,0
health,37,14,3689.34,3328.21,2,1,premium,none,no,1
health,45,8,4120.54,1293.22,1,1,standard,rear,no,0
health,52,16,2596.03,1198.21,0,0,basic,none,no,0
auto,57,16,3600.96,1822.66,1,3,standard,none,yes,0
health,59,18,1555.14,1773.44,0,3,premium,none,yes,0
auto,70,11,3232.88,1647.59,1,0,basic,none,yes,0
auto,22,9,1889.55,1119.55,1,1,basic,rear,no,0
property,40,3,2998.35,3292.25,0,0,standard,front,no,0
auto,18,12,606.71,1508.06,0,0,basic,side,yes,0
property,18,11,1653.08,3688.74,1,0,premium,front,no,0
auto,31,10,10145.12,1819.6,1,3,basic,none,yes,0
health,55,13,6511.2,2500.42,1,1,basic,none,yes,0
auto,73,17,9166.65,2389.54,0,1,premium,none,no,0
property,65,2,9618.13,1197.35,1,0,basic,none,no,0
property,58,8,5831.86,2172.43,0,0,basic,side,yes,0
auto,66,14,2651.79,4741.77,0,2,basic,none,yes,0
auto,28,16,1761.51,2050.43,3,3,premium,none,no,0
health,70,15,8125.16,2837.39,1,2,premium,none,no,0
auto,73,15,3809.29,2557.12,0,2,basic,side,no,0
auto,23,17,20864.74,2108.06,0,1,standard,rear,no,0
property,47,19,2819.83,1984.73,0,3,standard,front,no,0
health,69,12,14487.29,2377.15,1,3,basic,rear,no,0
auto,47,4,3262.49,2648.22,0,3,basic,side,yes,0
auto,70,11,9276.45,919.58,0,2,premium,rear,no,0
auto,76,14,11940.42,2046.02,2,2,basic,front,no,0
property,47,2,1779.23,1649.06,0,0,standard,none,no,0
auto,21,15,2592.82,1486.58,2,0,basic,rear,no,0
auto,39,10,1766.78,3456.4,2,0,standard,none,no,0
auto,31,18,1539.23,1253.16,0,1,basic,rear,no,0
property,47,4,5807.74,900.2,0,2,basic,side,no,0
auto,54,18,3172.77,2691.51,1,0,basic,front,no,0
health,46,8,3776.89,888.74,0,3,premium,none,no,0
auto,30,11,5374.21,689.54,0,2,basic,side,yes,0
property,36,13,992.11,2847.32,1,2,basic,none,no,0
auto,60,11,8961.89,1957.38,0,3,basic,side,yes,0
property,19,18,2851.6,2290.12,0,2,basic,side,no,0
property,31,3,5285.28,1449.23,1,0,standard,front,no,0
auto,73,14,5622.32,904.88,1,3,basic,rear,yes,0
auto,24,19,9504.85,999.35,1,3,standard,none,no,0
property,43,4,3383.28,1577.99,1,0,standard,none,yes,0
auto,30,5,823.41,957.0,0,2,premium,rear,no,0
property,24,9,3789.5,2108.07,1,1,standard,none,yes,0
property,44,14,4190.16,1434.79,1,0,basic,none,no,0
auto,50,19,1765.2,1983.3,2,1,standard,front,no,0
auto,28,15,4036.94,1953.88,1,3,standard,none,no,0
auto,22,15,2827.89,2193.82,0,1,premium,front,yes,0
health,26,8,1422.36,2320.97,1,2,premium,side,no,0
auto,58,12,5825.73,1522.41,0,3,standard,none,no,0
health,71,4,2453.8,1982.24,0,1,basic,none,no,0
health,29,9,2739.51,2034.5,1,3,basic,side,yes,0
property,37,3,2633.83,536.76,0,1,premium,rear,no,0
auto,39,0,8645.85,2498.04,0,3,premium,none,yes,0
auto,40,17,3538.15,1948.8,0,0,basic,none,yes,0
auto,33,16,3848.23,2397.12,0,3,standard,side,no,0
auto,21,10,2674.6,950.11,0,0,basic,none,no,0
auto,50,0,5034.18,1543.97,0,3,basic,rear,no,0
property,40,1,9363.02,1047.58,2,2,basic,none,yes,0
auto,39,2,5730.18,2623.59,0,2,basic,none,yes,0
auto,34,14,5888.8,895.55,0,3,standard,rear,yes,0
health,75,4,5565.61,1136.46,0,2,basic,front,no,0
health,55,5,1385.52,2361.75,0,2,standard,rear,yes,0
auto,43,17,1971.83,1319.9,2,3,standard,none,no,0
auto,30,17,3154.26,1136.61,0,3,standard,front,no,0
auto,67,15,2190.52,2845.12,2,0,basic,none,no,0
auto,73,6,1728.18,2904.03,1,3,basic,front,no,0
auto,20,11,981.89,2594.21,1,2,standard,side,yes,0
auto,75,4,1418.61,2763.78,1,0,standard,rear,no,0
health,61,17,3042.49,1610.36,1,3,basic,rear,no,0
property,24,1,3468.24,1632.23,1,3,standard,front,yes,0
auto,64,14,2089.88,1307.61,0,3,premium,none,yes,0
auto,24,10,3847.76,1966.21,1,3,basic,none,yes,0
property,21,15,2687.37,1388.6,1,1,basic,side,no,0
health,25,9,7811.88,1456.03,1,1,premium,none,no,0
health,46,3,3251.47,2440.48,2,1,standard,rear,no,0
property,56,15,5927.94,3269.1,1,1,basic,none,no,0
health,43,12,4197.52,2206.43,0,0,premium,side,no,0
health,25,9,1364.51,4434.45,0,2,basic,rear,no,0
auto,30,7,3417.07,1270.6,3,3,standard,none,yes,0
property,70,6,1533.12,721.27,0,3,standard,front,no,0
health,77,9,3375.56,2584.57,1,2,standard,none,no,0
auto,64,5,2161.18,1229.16,2,3,premium,none,no,0
health,24,5,4757.01,1576.8,0,0,standard,rear,no,0
auto,68,5,1422.76,746.28,3,1,basic,rear,yes,0
health,60,0,3678.61,1153.31,0,3,standard,front,no,0
auto,50,18,5435.41,853.11,3,3,standard,none,no,0
health,26,4,6872.73,1455.13,1,3,standard,front,yes,0
auto,79,3,2132.57,1484.34,0,1,basic,side,yes,0
health,45,3,3686.47,1891.23,4,0,basic,side,yes,0
health,20,19,4141.87,3360.56,2,3,premium,front,no,0
auto,31,9,10753.52,2536.28,2,1,basic,rear,yes,0
auto,42,6,1290.87,803.45,0,2,standard,front,yes,0
auto,21,8,1924.13,2450.4,1,0,standard,rear,no,0
health,38,1,25929.17,1911.95,0,3,basic,none,yes,0
property,47,6,3007.4,1721.73,3,1,basic,none,no,0
auto,76,4,969.04,1787.64,0,3,basic,rear,no,0
health,23,16,2421.68,2002.75,1,2,basic,none,no,0
property,53,1,524.16,1279.28,2,1,premium,front,no,0
health,74,8,4309.79,1650.49,1,1,basic,front,yes,0
auto,67,15,6417.92,3268.12,2,3,basic,side,yes,0
auto,75,16,1923.37,1271.62,2,2,standard,side,no,0
property,28,10,2618.86,1080.37,0,2,premium,none,no,0
auto,67,4,6950.42,1753.11,2,2,basic,rear,no,0
auto,78,6,1069.4,1027.33,0,0,basic,none,no,0
health,38,4,1443.61,764.03,1,0,standard,side,no,0
auto,48,13,3103.6,1521.98,0,0,standard,front,yes,0
health,50,5,2150.31,3730.55,0,1,standard,front,yes,0
property,48,12,2963.99,1773.48,1,2,basic,rear,no,0
property,35,13,1503.24,1976.91,0,1,premium,rear,no,0
health,78,18,4230.26,623.24,0,0,standard,front,yes,0
property,77,7,3279.8,2250.85,1,1,standard,front,no,0
property,41,19,5347.76,1894.45,0,0,premium,none,yes,0
property,67,8,4189.26,1296.65,1,1,standard,none,no,0
property,42,13,4207.75,1978.36,1,2,basic,none,yes,0
property,67,13,1322.9,1968.57,2,1,standard,none,no,0
auto,54,16,5140.03,1064.5,1,0,standard,rear,yes,0
auto,47,9,2888.21,2134.37,0,0,basic,none,no,0
auto,25,15,3240.17,3289.75,0,1,basic,none,no,0
health,58,7,7583.92,1613.29,0,0,basic,front,no,0
property,37,9,2200.4,1171.69,1,3,premium,none,yes,0
property,31,9,9375.25,1654.43,2,0,standard,side,yes,0
property,29,14,10007.93,2771.95,0,0,standard,rear,yes,0
property,78,12,6166.88,979.3,1,2,standard,side,no,0
health,24,1,1832.74,2414.58,0,2,standard,rear,no,0
auto,67,16,788.08,1288.19,0,2,premium,front,yes,0
health,71,15,7747.96,2040.67,0,0,basic,none,yes,0
auto,19,2,3936.19,1363.53,1,2,basic,rear,no,0
health,54,19,2161.08,1361.7,1,3,standard,side,yes,0
health,53,13,8279.13,3872.08,1,2,standard,rear,no,0
auto,40,1,1992.03,893.78,1,1,standard,none,no,0
health,59,9,2705.63,2304.65,2,1,premium,none,no,0
health,43,16,5257.56,4296.96,0,3,standard,rear,no,0
health,45,5,1669.83,2547.23,1,0,basic,none,no,0
property,44,18,3372.34,929.32,1,2,basic,none,no,0
auto,67,8,7804.03,952.61,3,1,basic,none,yes,0
property,57,4,4220.79,1241.64,0,3,standard,none,yes,0
auto,41,7,8718.46,1956.58,2,0,standard,front,no,0
auto,75,10,8050.76,2024.28,0,2,basic,side,yes,0
auto,67,13,3660.73,957.33,0,1,standard,none,no,0
property,75,18,709.3,1168.67,0,1,standard,none,no,0
property,63,3,1679.01,1205.03,2,1,basic,side,yes,0
auto,42,19,6212.59,1651.81,0,0,standard,none,no,0
health,65,10,1230.07,4877.3,0,3,basic,none,yes,0
property,38,2,2896.66,1133.89,1,2,standard,front,yes,0
property,34,18,4614.4,1109.34,0,2,standard,none,yes,0
auto,45,6,10185.29,1026.01,0,2,basic,rear,yes,0
auto,78,12,2434.47,2484.36,2,2,standard,front,yes,0
auto,53,13,2320.55,1771.05,2,2,standard,side,no,0
property,41,0,3509.71,1155.04,1,1,basic,rear,no,0
auto,46,4,4654.73,1508.09,0,0,premium,front,yes,0
health,36,13,3268.31,1217.12,0,0,standard,side,yes,0
property,58,6,7589.25,2096.33,2,2,standard,front,no,0
auto,39,0,2080.99,6920.12,2,0,basic,rear,yes,0
health,52,0,3960.45,2381.37,1,1,basic,front,yes,0
property,40,16,4972.36,1725.9,0,2,basic,side,no,0
auto,37,3,2751.32,1296.61,1,2,basic,rear,no,0
auto,78,2,6553.78,923.62,4,0,standard,none,yes,0
auto,39,11,4041.1,2609.32,0,2,premium,none,no,1
health,22,2,6324.54,2539.38,1,3,basic,front,no,0
auto,41,13,4170.84,1432.17,1,1,standard,none,no,0
auto,50,10,4738.53,3316.51,0,0,standard,side,yes,0
auto,23,12,2338.64,1827.22,1,2,standard,rear,no,0
health,36,9,2341.3,2663.46,1,2,standard,side,no,0
property,28,15,8579.04,2096.66,0,1,basic,none,yes,0
health,49,12,5680.86,1654.79,2,2,standard,none,no,0
health,62,8,1779.21,1121.65,0,3,basic,none,no,0
property,78,0,4132.36,1681.15,1,2,basic,none,no,0
health,42,5,691.15,2754.59,1,3,standard,side,yes,0
health,71,2,2436.31,1402.39,2,0,basic,none,yes,0
auto,31,0,7134.66,2252.67,2,1,basic,none,no,0
auto,66,5,3335.57,1052.19,2,2,basic,none,yes,0
auto,52,4,3954.22,2670.52,0,1,basic,front,yes,0
health,65,1,440.77,2114.28,1,3,basic,front,no,0
property,64,6,2766.73,991.23,1,2,basic,rear,no,0
auto,51,10,4613.72,1616.46,1,1,basic,rear,no,0
auto,33,3,5042.73,2880.5,0,3,standard,side,no,0
property,50,5,7141.29,963.41,1,3,standard,side,no,0
property,69,0,3142.64,1058.41,1,0,premium,rear,no,0
health,78,1,3242.31,1746.29,0,2,premium,rear,no,0
auto,75,3,1432.99,5253.58,1,1,premium,none,no,0
health,29,9,3155.29,1291.7,1,3,standard,side,no,0
auto,55,13,1505.53,2316.09,2,1,basic,none,yes,0
health,24,15,998.74,2059.19,0,1,basic,front,no,0
health,59,12,1703.39,1346.47,1,3,premium,rear,no,0
property,79,12,10468.01,1959.74,0,3,premium,rear,no,0
auto,21,18,3012.75,1445.32,0,0,standard,side,no,0
property,58,5,4246.77,1511.86,1,2,standard,side,yes,0
auto,76,15,2541.61,787.89,0,3,basic,side,no,0
auto,70,18,1039.62,1786.09,1,0,basic,none,no,0
property,42,11,7011.31,2834.29,0,2,standard,side,no,0
auto,24,16,795.89,1860.71,1,3,basic,front,yes,0
auto,75,2,2469.19,3118.96,0,3,standard,front,no,0
auto,75,17,3504.38,2416.71,0,0,standard,none,yes,0
auto,53,11,4278.44,1755.01,0,3,standard,none,no,0
auto,78,4,2189.59,1320.86,0,1,premium,front,no,0
health,18,1,1005.69,1417.81,1,1,basic,side,no,0
auto,56,14,2078.15,866.74,1,1,basic,none,no,0
property,20,8,2155.7,1582.02,0,2,standard,none,no,0
health,76,6,2119.29,1944.97,2,0,standard,none,yes,0
property,60,7,7179.9,4262.92,0,2,premium,none,no,0
property,74,19,1556.94,2354.68,1,0,basic,front,no,0
health,52,8,4494.84,1173.3,2,3,basic,front,no,0
auto,23,1,4067.6,880.35,1,1,basic,side,no,0
property,19,5,7131.8,1630.63,5,2,standard,none,yes,0
auto,38,2,3316.97,2713.2,0,0,basic,none,yes,0
auto,64,13,6334.66,1619.21,0,0,basic,side,no,0
health,27,16,3227.44,2370.82,1,0,basic,front,no,0
auto,70,16,4934.84,1651.5,1,3,basic,none,no,0
health,32,12,1271.49,2587.64,1,0,standard,side,yes,0
property,48,15,574.33,813.52,0,0,basic,none,no,0
health,30,8,4742.32,4032.3,1,2,premium,none,no,0
auto,46,12,4923.76,1036.66,0,3,standard,rear,yes,0
auto,46,2,5078.91,2688.84,0,0,basic,side,no,0
auto,18,10,2521.34,1577.99,1,1,basic,rear,no,0
auto,53,11,10329.98,1706.31,1,2,basic,rear,yes,0
health,66,0,2638.82,1602.71,0,1,basic,front,no,0
health,76,10,4888.38,2054.53,2,0,standard,none,no,0
health,38,14,5520.62,2272.79,0,3,premium,side,yes,0
health,72,7,12126.13,3069.23,3,1,basic,none,no,0
auto,72,10,2916.32,3655.45,0,2,basic,rear,yes,0
auto,79,5,2304.84,2134.34,0,1,premium,none,no,0
health,41,5,1275.76,4259.2,2,2,standard,side,no,0
auto,70,2,10793.04,1894.08,0,3,basic,none,yes,0
auto,53,6,4890.2,3098.64,0,1,standard,rear,yes,0
health,21,16,4999.75,2240.29,0,3,basic,none,no,0
auto,34,18,32263.54,1373.88,1,1,basic,front,no,0
auto,59,12,4571.2,1979.53,0,1,premium,none,yes,0
auto,27,12,1463.19,2325.26,0,0,standard,front,yes,0
auto,44,12,3174.38,1779.17,0,1,basic,none,no,0
health,66,9,1840.24,2222.59,1,2,premium,front,yes,0
auto,27,8,2759.74,2786.89,2,2,basic,rear,no,0
property,48,12,2746.79,1787.04,1,1,basic,none,yes,0
auto,31,15,2414.1,414.91,1,1,premium,rear,yes,0
auto,51,8,1372.93,4184.47,1,0,standard,none,no,0
auto,32,11,11100.56,1558.07,0,3,standard,side,yes,0
property,77,9,4488.14,1197.94,0,1,basic,none,no,1
health,22,5,3109.35,1030.65,1,1,basic,front,no,0
health,77,5,6187.87,1528.09,0,3,premium,front,no,0
property,67,1,5063.17,1364.61,0,2,basic,none,no,0
auto,71,8,4415.97,1250.75,0,3,premium,none,no,0
health,70,14,5881.1,1285.54,0,1,standard,none,yes,0
health,29,13,3998.82,2356.36,1,1,basic,none,yes,0
property,75,19,5820.58,4989.95,4,2,premium,none,no,0
auto,54,0,6168.3,2725.17,1,3,premium,none,no,0
property,77,15,4080.21,3169.4,0,3,premium,side,no,0
health,72,15,3120.42,1497.11,0,1,basic,rear,no,0
property,53,8,10628.33,1905.18,2,2,standard,none,yes,0
auto,41,5,2605.73,2237.78,1,1,basic,front,no,0
auto,25,7,4788.25,1300.13,0,1,basic,none,no,0
auto,24,13,4864.58,1461.38,0,1,premium,none,no,0
property,42,17,2376.32,2771.87,1,0,premium,none,no,0
auto,68,12,2068.39,3118.62,0,3,basic,front,yes,0
health,49,10,2842.11,1870.02,0,0,standard,none,no,0
auto,47,13,2579.75,994.68,2,1,premium,side,no,0
auto,33,1,1312.0,1559.63,2,1,standard,rear,no,0
auto,52,12,2307.58,879.48,0,0,basic,none,no,0
health,57,0,4386.8,1877.32,1,1,basic,none,no,0
auto,78,19,8832.21,2054.32,0,3,standard,rear,no,0
property,63,17,5367.27,1579.15,3,1,premium,none,yes,0
health,55,10,590.12,2040.31,0,2,basic,none,yes,0
property,74,7,5703.94,2227.09,1,2,basic,side,no,0
health,44,14,2463.39,2055.82,1,3,standard,rear,no,1
health,75,12,4999.81,991.52,0,2,standard,none,no,0
health,40,14,3605.1,1592.99,0,2,premium,rear,no,0
auto,25,10,3181.53,2219.24,1,3,standard,side,no,0
health,43,4,3389.49,3981.27,1,2,standard,front,no,0
property,25,1,3584.24,1578.2,0,2,premium,none,yes,0
auto,25,5,9330.87,2381.34,1,0,standard,none,no,0
auto,72,10,3591.19,2804.77,2,2,standard,none,no,0
health,67,8,7784.39,1638.75,0,3,basic,none,yes,0
property,31,10,7029.94,3210.57,2,1,standard,none,yes,0
auto,69,5,5807.65,3298.05,1,0,basic,none,no,0
property,22,18,1042.49,3605.42,1,2,premium,rear,yes,0
auto,35,7,7955.69,2273.82,3,0,basic,front,no,0
auto,61,16,2642.47,5884.45,1,2,basic,front,no,0
property,36,7,6008.97,1329.23,1,3,premium,rear,yes,0
auto,63,8,1843.14,5229.33,1,1,standard,front,no,0
health,72,12,1588.35,2654.87,2,0,standard,side,yes,0
property,22,5,14522.76,3534.03,1,1,standard,rear,no,1
auto,19,4,1863.31,1540.68,0,0,basic,front,yes,0
auto,76,7,8121.54,2757.93,0,1,basic,side,no,0
property,50,16,3955.63,3690.39,1,1,standard,rear,no,1
health,49,2,2713.29,1049.76,0,3,premium,none,yes,0
property,46,8,3528.47,1666.26,0,3,basic,none,no,0
property,44,13,1464.45,619.79,3,1,basic,none,no,0
health,60,14,3606.06,1653.8,2,3,basic,rear,no,0
auto,53,8,1706.3,1202.31,2,1,standard,none,no,0
auto,28,1,2760.56,1621.51,0,0,basic,none,no,0
auto,56,0,6958.43,7799.55,2,3,basic,side,no,0
auto,59,9,4350.01,4268.0,4,1,basic,rear,no,0
property,25,16,1290.11,880.31,1,3,standard,front,no,0
property,41,0,6608.04,2387.18,4,2,standard,front,yes,0
property,67,17,3622.9,2695.84,0,3,basic,rear,yes,0
property,56,13,2491.08,1526.99,0,2,basic,rear,no,0
auto,26,0,6140.57,1976.64,0,2,basic,front,yes,0
health,20,6,3238.79,2075.57,2,0,standard,front,no,0
auto,54,4,1610.08,922.14,0,1,basic,front,no,0
health,46,18,13272.73,1079.59,1,1,premium,none,no,1
property,77,11,3597.16,1970.71,3,1,basic,rear,no,0
property,50,6,3439.32,1900.17,0,2,standard,none,no,0
property,75,5,2741.95,1268.66,0,3,basic,side,yes,0
auto,31,11,8316.33,1215.38,2,0,standard,none,yes,0
health,45,0,2521.44,1728.67,0,2,standard,none,no,0
auto,26,5,1234.61,2816.01,1,3,basic,none,no,0
health,53,3,2264.08,1740.2,0,1,basic,none,no,0
auto,29,12,9216.42,4069.87,1,1,basic,none,yes,0
property,48,13,6519.11,1276.77,0,1,standard,none,yes,0
auto,39,9,3045.71,1991.32,0,3,premium,rear,no,0
health,29,2,9521.22,1514.52,0,3,standard,side,no,0
property,24,7,6146.02,2425.95,0,2,standard,none,no,0
auto,49,16,3021.13,1223.18,1,1,basic,front,no,0
health,76,4,3241.73,4739.56,0,2,standard,rear,no,0
property,30,3,4584.89,776.42,2,2,standard,none,no,0
property,43,2,2033.84,4263.05,0,3,basic,none,yes,0
auto,31,16,3652.45,1891.25,3,0,basic,front,yes,0
health,68,2,4518.61,2383.23,1,0,basic,front,yes,0
auto,43,11,1117.81,3523.68,0,1,basic,side,no,0
auto,78,19,3189.04,2776.18,2,1,premium,front,no,0
auto,33,12,2944.99,1255.12,0,2,basic,none,no,0
health,23,8,7477.45,2440.71,1,2,basic,side,no,0
auto,54,4,1001.1,4599.66,0,3,basic,side,no,0
health,58,0,2787.63,1160.21,0,3,basic,none,no,0
auto,79,3,2598.71,5214.58,0,0,basic,side,no,0
auto,72,19,7129.88,2192.62,1,3,basic,none,no,0
health,72,2,3531.64,1455.91,1,3,basic,side,yes,0
auto,57,0,12800.84,1156.73,0,1,basic,rear,no,0
auto,40,16,5788.04,1617.05,1,0,standard,none,no,0
auto,44,8,2732.15,680.18,3,3,standard,side,no,0
auto,26,7,4305.98,1469.06,2,0,standard,none,yes,0
auto,44,14,2841.68,1585.31,0,0,basic,rear,yes,0
property,40,10,6644.72,1056.58,0,1,basic,none,no,0
health,20,18,1432.91,2627.85,0,0,premium,side,no,0
auto,30,9,2045.53,1620.71,0,1,basic,none,yes,0
auto,51,14,5008.96,1315.67,2,0,basic,none,no,0
property,40,17,8587.21,1536.61,2,0,basic,rear,no,0
auto,79,9,779.48,2159.33,2,3,basic,side,no,0
auto,47,5,9529.33,1875.46,0,1,standard,none,no,0
auto,77,19,3300.75,1273.48,0,2,standard,none,yes,0
health,58,4,973.88,1925.28,1,3,basic,side,no,0
health,20,0,445.32,1762.81,0,1,standard,none,no,0
auto,30,11,1248.17,1022.77,0,1,basic,none,no,0
auto,61,19,3591.07,1565.17,1,2,standard,none,no,0
health,51,1,3476.81,2415.52,1,2,standard,side,yes,0
auto,36,16,5671.68,2406.84,2,0,standard,front,no,0
auto,50,16,2478.38,1611.66,0,3,basic,none,no,1
property,73,18,1676.35,2536.11,0,0,basic,none,yes,0
auto,42,8,2726.68,1107.68,2,2,standard,side,no,0
auto,20,5,3727.63,1124.96,2,0,basic,none,no,0
health,37,10,4279.28,1594.59,2,0,premium,none,no,0
